REF_DATE,GEO,DGUID,Indicator,Type of use,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1966,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,4
1966,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,145
1966,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,111
1966,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,455
1966,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,452
1966,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,3
1966,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,223
1967,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,557
1967,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,243
1967,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,238
1967,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,5
1967,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,178
1967,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,135
1967,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,557
1967,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,553
1967,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,3
1967,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1967,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,273
1968,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,677
1968,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,295
1968,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,289
1968,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,6
1968,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,217
1968,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,165
1968,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,677
1968,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,673
1968,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,4
1968,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1968,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,332
1969,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,808
1969,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,352
1969,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,345
1969,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,8
1969,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,259
1969,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,197
1969,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,808
1969,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,803
1969,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,5
1969,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1969,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,397
1970,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,945
1970,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,440
1970,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,431
1970,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,9
1970,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,275
1970,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,230
1970,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,945
1970,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,939
1970,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,6
1970,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1970,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,483
1971,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1082
1971,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,504
1971,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,493
1971,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,11
1971,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,315
1971,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,263
1971,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1082
1971,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1075
1971,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,7
1971,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1971,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,553
1972,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1213
1972,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,564
1972,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,552
1972,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,12
1972,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,354
1972,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,296
1972,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1213
1972,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1206
1972,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,8
1972,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1972,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,619
1973,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1334
1973,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,620
1973,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,607
1973,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,13
1973,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,389
1973,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,325
1973,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1334
1973,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1326
1973,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,8
1973,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1973,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,681
1974,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1447
1974,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,716
1974,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,701
1974,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,15
1974,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,378
1974,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,353
1974,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1447
1974,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1437
1974,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,10
1974,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1974,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,768
1975,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1550
1975,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,768
1975,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,752
1975,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,16
1975,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,403
1975,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,379
1975,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1550
1975,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1539
1975,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,10
1975,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1975,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
