REF_DATE,GEO,DGUID,Indicator,Industry,Authority,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012,Canada,2016A000011124,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809059,1.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809060,1.4.2.2.0.0.0.0.0.0,332,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809095,1.5.1.1.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809096,1.5.1.2.0.0.0.0.0.0,3067,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809131,1.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809132,1.5.2.2.0.0.0.0.0.0,1328,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808809,2.1.1.1.0.0.0.0.0.0,1,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808810,2.1.1.2.0.0.0.0.0.0,164,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808845,2.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808846,2.1.2.2.0.0.0.0.0.0,100,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808881,2.2.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808882,2.2.1.2.0.0.0.0.0.0,159,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808917,2.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808918,2.2.2.2.0.0.0.0.0.0,100,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808953,2.3.1.1.0.0.0.0.0.0,1,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808954,2.3.1.2.0.0.0.0.0.0,5,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808989,2.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808990,2.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809025,2.4.1.1.0.0.0.0.0.0,1,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809026,2.4.1.2.0.0.0.0.0.0,59,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809061,2.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809062,2.4.2.2.0.0.0.0.0.0,20,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809097,2.5.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809098,2.5.1.2.0.0.0.0.0.0,105,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809133,2.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Atlantic,2016A00011,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809134,2.5.2.2.0.0.0.0.0.0,80,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808811,3.1.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808812,3.1.1.2.0.0.0.0.0.0,14,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808847,3.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808848,3.1.2.2.0.0.0.0.0.0,20,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808883,3.2.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808884,3.2.1.2.0.0.0.0.0.0,13,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808919,3.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808920,3.2.2.2.0.0.0.0.0.0,20,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808955,3.3.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808956,3.3.1.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808991,3.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808992,3.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809027,3.4.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809028,3.4.1.2.0.0.0.0.0.0,5,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809063,3.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809064,3.4.2.2.0.0.0.0.0.0,4,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809099,3.5.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809100,3.5.1.2.0.0.0.0.0.0,8,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809135,3.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Newfoundland and Labrador,2016A000210,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809136,3.5.2.2.0.0.0.0.0.0,16,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808813,4.1.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808814,4.1.1.2.0.0.0.0.0.0,7,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808849,4.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808850,4.1.2.2.0.0.0.0.0.0,5,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808885,4.2.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808886,4.2.1.2.0.0.0.0.0.0,7,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808921,4.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808922,4.2.2.2.0.0.0.0.0.0,5,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808957,4.3.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808958,4.3.1.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808993,4.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808994,4.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809029,4.4.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809030,4.4.1.2.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809065,4.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809066,4.4.2.2.0.0.0.0.0.0,1,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809101,4.5.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809102,4.5.1.2.0.0.0.0.0.0,5,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809137,4.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Prince Edward Island,2016A000211,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809138,4.5.2.2.0.0.0.0.0.0,4,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808815,5.1.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808816,5.1.1.2.0.0.0.0.0.0,72,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808851,5.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808852,5.1.2.2.0.0.0.0.0.0,49,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808887,5.2.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808888,5.2.1.2.0.0.0.0.0.0,70,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808923,5.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808924,5.2.2.2.0.0.0.0.0.0,49,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808959,5.3.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808960,5.3.1.2.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808995,5.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808996,5.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809031,5.4.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809032,5.4.1.2.0.0.0.0.0.0,28,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809067,5.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809068,5.4.2.2.0.0.0.0.0.0,10,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809103,5.5.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809104,5.5.1.2.0.0.0.0.0.0,45,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809139,5.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Nova Scotia,2016A000212,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809140,5.5.2.2.0.0.0.0.0.0,39,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808817,6.1.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808818,6.1.1.2.0.0.0.0.0.0,71,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808853,6.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808854,6.1.2.2.0.0.0.0.0.0,26,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808889,6.2.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808890,6.2.1.2.0.0.0.0.0.0,68,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808925,6.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808926,6.2.2.2.0.0.0.0.0.0,26,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808961,6.3.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808962,6.3.1.2.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808997,6.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808998,6.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809033,6.4.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809034,6.4.1.2.0.0.0.0.0.0,23,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809069,6.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809070,6.4.2.2.0.0.0.0.0.0,5,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809105,6.5.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809106,6.5.1.2.0.0.0.0.0.0,47,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809141,6.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,New Brunswick,2016A000213,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809142,6.5.2.2.0.0.0.0.0.0,21,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808819,7.1.1.1.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808820,7.1.1.2.0.0.0.0.0.0,1545,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808855,7.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808856,7.1.2.2.0.0.0.0.0.0,346,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808891,7.2.1.1.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808892,7.2.1.2.0.0.0.0.0.0,1521,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808927,7.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808928,7.2.2.2.0.0.0.0.0.0,346,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808963,7.3.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808964,7.3.1.2.0.0.0.0.0.0,24,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808999,7.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809000,7.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809035,7.4.1.1.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809036,7.4.1.2.0.0.0.0.0.0,524,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Intermediate consumption,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809071,7.4.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Intermediate consumption,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809072,7.4.2.2.0.0.0.0.0.0,69,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Gross value added,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809107,7.5.1.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Gross value added,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809108,7.5.1.2.0.0.0.0.0.0,1021,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Gross value added,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001809143,7.5.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Quebec,2016A000224,Gross value added,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001809144,7.5.2.2.0.0.0.0.0.0,277,NULL,NULL,NULL,0
2012,Ontario,2016A000235,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808821,8.1.1.1.0.0.0.0.0.0,4,NULL,NULL,NULL,0
2012,Ontario,2016A000235,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808822,8.1.1.2.0.0.0.0.0.0,598,NULL,NULL,NULL,0
2012,Ontario,2016A000235,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808857,8.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
